00:25:58.246:DEBUG:exporter: got next (rank 241), qsize 0, len(players) = 34
00:25:58.283:DEBUG:exporter: got next (rank 242), qsize 2, len(players) = 35
00:25:58.283:DEBUG:exporter: got next (rank 243), qsize 1, len(players) = 36
00:25:58.284:DEBUG:exporter: got next (rank 244), qsize 0, len(players) = 37
00:25:58.339:DEBUG:exporter: got next (rank 245), qsize 1, len(players) = 38
00:25:58.340:DEBUG:exporter: got next (rank 246), qsize 0, len(players) = 39
00:25:58.381:DEBUG:exporter: got next (rank 247), qsize 0, len(players) = 40
00:25:58.440:DEBUG:exporter: got next (rank 248), qsize 0, len(players) = 41
00:25:58.493:DEBUG:exporter: got next (rank 249), qsize 2, len(players) = 42
00:25:58.493:DEBUG:exporter: got next (rank 250), qsize 1, len(players) = 43
00:25:58.494:DEBUG:exporter: got next (rank 251), qsize 0, len(players) = 44
00:25:58.676:DEBUG:exporter: got next (rank 252), qsize 2, len(players) = 45
00:25:58.676:DEBUG:exporter: got next (rank 253), qsize 1, len(players) = 46
00:25:58.676:DEBUG:exporter: got next (rank 254), qsize 0, len(players) = 47
00:25:58.681:DEBUG:exporter: got next (rank 255), qsize 0, len(players) = 48
00:25:58.739:DEBUG:exporter: got next (rank 256), qsize 4, len(players) = 49
00:25:58.783:DEBUG:exported 50 documents: (ranks 207-256)
00:25:58.783:DEBUG:exporter: got next (rank 257), qsize 5, len(players) = 0
00:25:58.783:DEBUG:exporter: got next (rank 258), qsize 4, len(players) = 1
00:25:58.783:DEBUG:exporter: got next (rank 259), qsize 3, len(players) = 2
00:25:58.783:DEBUG:exporter: got next (rank 260), qsize 2, len(players) = 3
00:25:58.783:DEBUG:exporter: got next (rank 261), qsize 1, len(players) = 4
00:25:58.784:DEBUG:exporter: got next (rank 262), qsize 0, len(players) = 5
00:25:58.835:DEBUG:exporter: got next (rank 263), qsize 1, len(players) = 6
00:25:58.835:DEBUG:exporter: got next (rank 264), qsize 0, len(players) = 7
00:25:58.884:DEBUG:exporter: got next (rank 265), qsize 0, len(players) = 8
00:25:58.936:DEBUG:exporter: got next (rank 266), qsize 0, len(players) = 9
00:25:58.985:DEBUG:exporter: got next (rank 267), qsize 0, len(players) = 10
00:25:59.106:DEBUG:exporter: got next (rank 268), qsize 1, len(players) = 11
00:25:59.107:DEBUG:exporter: got next (rank 269), qsize 0, len(players) = 12
00:25:59.146:DEBUG:exporter: got next (rank 270), qsize 1, len(players) = 13
00:25:59.146:DEBUG:exporter: got next (rank 271), qsize 0, len(players) = 14
00:25:59.188:DEBUG:exporter: got next (rank 272), qsize 4, len(players) = 15
00:25:59.188:DEBUG:exporter: got next (rank 273), qsize 3, len(players) = 16
00:25:59.189:DEBUG:exporter: got next (rank 274), qsize 2, len(players) = 17
00:25:59.189:DEBUG:exporter: got next (rank 275), qsize 1, len(players) = 18
00:25:59.189:DEBUG:exporter: got next (rank 276), qsize 0, len(players) = 19
00:25:59.245:DEBUG:exporter: got next (rank 277), qsize 0, len(players) = 20
00:25:59.246:DEBUG:exporter: got next (rank 278), qsize 0, len(players) = 21
00:25:59.283:DEBUG:exporter: got next (rank 279), qsize 2, len(players) = 22
00:25:59.284:DEBUG:exporter: got next (rank 280), qsize 1, len(players) = 23
00:25:59.284:DEBUG:exporter: got next (rank 281), qsize 0, len(players) = 24
00:25:59.577:DEBUG:exported 25 documents: (ranks 257-281)
00:25:59.577:DEBUG:exporter: got next (rank 282), qsize 1, len(players) = 0
00:25:59.578:DEBUG:exporter: got next (rank 283), qsize 0, len(players) = 1
00:25:59.684:DEBUG:exporter: got next (rank 284), qsize 10, len(players) = 2
00:25:59.685:DEBUG:exporter: got next (rank 285), qsize 9, len(players) = 3
00:25:59.685:DEBUG:exporter: got next (rank 286), qsize 8, len(players) = 4
00:25:59.685:DEBUG:exporter: got next (rank 287), qsize 7, len(players) = 5
00:25:59.685:DEBUG:exporter: got next (rank 288), qsize 6, len(players) = 6
00:25:59.686:DEBUG:exporter: got next (rank 289), qsize 5, len(players) = 7
00:25:59.686:DEBUG:exporter: got next (rank 290), qsize 4, len(players) = 8
00:25:59.686:DEBUG:exporter: got next (rank 291), qsize 3, len(players) = 9
00:25:59.686:DEBUG:exporter: got next (rank 292), qsize 2, len(players) = 10
00:25:59.686:DEBUG:exporter: got next (rank 293), qsize 1, len(players) = 11
00:25:59.687:DEBUG:exporter: got next (rank 294), qsize 0, len(players) = 12
00:25:59.754:DEBUG:exporter: got next (rank 295), qsize 2, len(players) = 13
00:25:59.755:DEBUG:exporter: got next (rank 296), qsize 1, len(players) = 14
00:25:59.755:DEBUG:exporter: got next (rank 297), qsize 0, len(players) = 15
00:26:00.005:DEBUG:exporter: got next (rank 298), qsize 0, len(players) = 16
00:26:00.058:DEBUG:exporter: got next (rank 299), qsize 0, len(players) = 17
00:26:00.108:DEBUG:exporter: got next (rank 300), qsize 1, len(players) = 18
00:26:00.108:DEBUG:exporter: got next (rank 301), qsize 0, len(players) = 19
00:26:00.165:DEBUG:exporter: got next (rank 302), qsize 8, len(players) = 20
00:26:00.165:DEBUG:exporter: got next (rank 303), qsize 7, len(players) = 21
00:26:00.166:DEBUG:exporter: got next (rank 304), qsize 6, len(players) = 22
00:26:00.166:DEBUG:exporter: got next (rank 305), qsize 5, len(players) = 23
00:26:00.166:DEBUG:exporter: got next (rank 306), qsize 4, len(players) = 24
00:26:00.167:DEBUG:exporter: got next (rank 307), qsize 3, len(players) = 25
00:26:00.167:DEBUG:exporter: got next (rank 308), qsize 2, len(players) = 26
00:26:00.167:DEBUG:exporter: got next (rank 309), qsize 1, len(players) = 27
00:26:00.167:DEBUG:exporter: got next (rank 310), qsize 0, len(players) = 28
00:26:00.207:DEBUG:exporter: got next (rank 311), qsize 2, len(players) = 29
00:26:00.207:DEBUG:exporter: got next (rank 312), qsize 1, len(players) = 30
00:26:00.207:DEBUG:exporter: got next (rank 313), qsize 0, len(players) = 31
00:26:00.402:DEBUG:exporter: got next (rank 314), qsize 0, len(players) = 32
00:26:00.695:DEBUG:exported 33 documents: (ranks 282-314)
00:26:00.700:DEBUG:exporter: got next (rank 315), qsize 0, len(players) = 0
00:26:00.772:DEBUG:exporter: got next (rank 316), qsize 2, len(players) = 1
00:26:00.773:DEBUG:exporter: got next (rank 317), qsize 1, len(players) = 2
00:26:00.773:DEBUG:exporter: got next (rank 318), qsize 0, len(players) = 3
00:26:00.848:DEBUG:exporter: got next (rank 319), qsize 7, len(players) = 4
00:26:00.849:DEBUG:exporter: got next (rank 320), qsize 10, len(players) = 5
00:26:00.850:DEBUG:exporter: got next (rank 321), qsize 9, len(players) = 6
00:26:00.850:DEBUG:exporter: got next (rank 322), qsize 8, len(players) = 7
00:26:00.850:DEBUG:exporter: got next (rank 323), qsize 7, len(players) = 8
00:26:00.850:DEBUG:exporter: got next (rank 324), qsize 6, len(players) = 9
00:26:00.851:DEBUG:exporter: got next (rank 325), qsize 5, len(players) = 10
00:26:00.851:DEBUG:exporter: got next (rank 326), qsize 4, len(players) = 11
00:26:00.852:DEBUG:exporter: got next (rank 327), qsize 3, len(players) = 12
00:26:00.852:DEBUG:exporter: got next (rank 328), qsize 2, len(players) = 13
00:26:00.852:DEBUG:exporter: got next (rank 329), qsize 1, len(players) = 14
00:26:00.852:DEBUG:exporter: got next (rank 330), qsize 0, len(players) = 15
00:26:01.136:DEBUG:exported 16 documents: (ranks 315-330)
00:26:01.173:DEBUG:exporter: got next (rank 331), qsize 0, len(players) = 0
00:26:01.234:DEBUG:exporter: got next (rank 332), qsize 2, len(players) = 1
00:26:01.234:DEBUG:exporter: got next (rank 333), qsize 1, len(players) = 2
00:26:01.235:DEBUG:exporter: got next (rank 334), qsize 0, len(players) = 3
00:26:01.313:DEBUG:exporter: got next (rank 335), qsize 1, len(players) = 4
00:26:01.314:DEBUG:exporter: got next (rank 336), qsize 0, len(players) = 5
00:26:01.384:DEBUG:exporter: got next (rank 337), qsize 7, len(players) = 6
00:26:01.384:DEBUG:exporter: got next (rank 338), qsize 6, len(players) = 7
00:26:01.384:DEBUG:exporter: got next (rank 339), qsize 5, len(players) = 8
00:26:01.385:DEBUG:exporter: got next (rank 340), qsize 4, len(players) = 9
00:26:01.385:DEBUG:exporter: got next (rank 341), qsize 3, len(players) = 10
00:26:01.385:DEBUG:exporter: got next (rank 342), qsize 2, len(players) = 11
